HRR,Time_Period,Total_Hospital_Beds,Available_Hospital_Beds,Hospital_Beds_Needed,Total_ICU_Beds,Available_ICU_Beds,ICU_Beds_Needed,Bed_Occupancy_Rate,ICU_Occupancy_Rate
"Danville, PA",12 Months,1664,510,673,171,33,146,40.44471154,85.38011696
"Danville, PA",18 Months,1664,510,439,171,33,95,26.38221154,55.55555556
"Davenport, IA",6 Months,1614,699,1071,139,66,235,66.35687732,169.0647482
"Davenport, IA",12 Months,1614,699,535,139,66,117,33.14745973,84.17266187
"Davenport, IA",18 Months,1614,699,349,139,66,76,21.62329616,54.67625899
"Dayton, OH",6 Months,2070,749,2316,294,89,504,111.884058,171.4285714
"Dayton, OH",12 Months,2070,749,1158,294,89,252,55.94202899,85.71428571
"Dayton, OH",18 Months,2070,749,755,294,89,164,36.47342995,55.78231293
"Dearborn, MI",6 Months,1439,462,1065,188,95,230,74.00972898,122.3404255
"Dearborn, MI",12 Months,1439,462,532,188,95,115,36.97011814,61.17021277
"Dearborn, MI",18 Months,1439,462,347,188,95,75,24.11396803,39.89361702
"Denver, CO",6 Months,5593,2269,6511,843,325,1374,116.4133739,162.9893238
"Denver, CO",12 Months,5593,2269,3256,843,325,687,58.21562668,81.49466192
"Denver, CO",18 Months,5593,2269,2123,843,325,448,37.95816199,53.14353499
"Des Moines, IA",6 Months,2760,1193,2417,173,76,520,87.57246377,300.5780347
"Des Moines, IA",12 Months,2760,1193,1209,173,76,260,43.80434783,150.2890173
"Des Moines, IA",18 Months,2760,1193,788,173,76,170,28.55072464,98.26589595
"Detroit, MI",6 Months,4123,1333,3655,509,163,786,88.64904196,154.4204322
"Detroit, MI",12 Months,4123,1333,1828,509,163,393,44.33664807,77.21021611
"Detroit, MI",18 Months,4123,1333,1192,509,163,256,28.91098715,50.29469548
"Dothan, AL",6 Months,1335,504,818,108,33,179,61.27340824,165.7407407
"Dothan, AL",12 Months,1335,504,409,108,33,90,30.63670412,83.33333333
"Dothan, AL",18 Months,1335,504,267,108,33,58,20,53.7037037
"Dubuque, IA",6 Months,518,228,355,18,8,78,68.53281853,433.3333333
"Dubuque, IA",12 Months,518,228,177,18,8,39,34.16988417,216.6666667
"Dubuque, IA",18 Months,518,228,116,18,8,25,22.39382239,138.8888889
"Duluth, MN",6 Months,1319,508,776,217,73,170,58.83244882,78.34101382
"Duluth, MN",12 Months,1319,508,388,217,73,85,29.41622441,39.17050691
"Duluth, MN",18 Months,1319,508,253,217,73,56,19.18119788,25.80645161
"Durham, NC",6 Months,4505,1125,3064,790,241,663,68.01331853,83.92405063
"Durham, NC",12 Months,4505,1125,1532,790,241,332,34.00665927,42.02531646
"Durham, NC",18 Months,4505,1125,999,790,241,216,22.17536071,27.34177215
